Numero pacchetto,Lunghezza,Data/ora,IP sorgente,IP destinazione,Porta sorgente,Porta destinazione,Host
1,52,2024-09-13 11:53:05.499790,20.42.73.30,172.21.42.227,443,52640
2,52,2024-09-13 11:53:06.286287,172.21.42.227,20.42.65.89,60616,443
3,52,2024-09-13 11:53:06.422223,20.42.65.89,172.21.42.227,443,60616
4,52,2024-09-13 11:53:07.421910,172.21.42.227,20.42.65.89,60616,443
5,52,2024-09-13 11:53:07.564705,20.42.65.89,172.21.42.227,443,60616
6,165,2024-09-13 11:53:07.587217,172.21.42.227,20.42.73.30,52640,443
7,2428,2024-09-13 11:53:07.587521,172.21.42.227,20.42.73.30,52640,443
8,2428,2024-09-13 11:53:07.587732,172.21.42.227,20.42.73.30,52640,443
9,2428,2024-09-13 11:53:07.587934,172.21.42.227,20.42.73.30,52640,443
10,2022,2024-09-13 11:53:07.588132,172.21.42.227,20.42.73.30,52640,443
11,52,2024-09-13 11:53:07.707106,20.42.73.30,172.21.42.227,443,52640
12,52,2024-09-13 11:53:07.745719,20.42.73.30,172.21.42.227,443,52640
13,52,2024-09-13 11:53:07.745988,20.42.73.30,172.21.42.227,443,52640
14,52,2024-09-13 11:53:07.746175,20.42.73.30,172.21.42.227,443,52640
15,150,2024-09-13 11:53:07.746409,20.42.73.30,172.21.42.227,443,52640
16,52,2024-09-13 11:53:07.785202,172.21.42.227,20.42.73.30,52640,443
17,52,2024-09-13 11:53:08.566370,172.21.42.227,20.42.65.89,60616,443
18,52,2024-09-13 11:53:08.692431,20.42.65.89,172.21.42.227,443,60616
19,52,2024-09-13 11:53:09.694224,172.21.42.227,20.42.65.89,60616,443
20,171,2024-09-13 11:53:09.710212,172.21.42.227,20.42.73.30,52640,443
21,2428,2024-09-13 11:53:09.710567,172.21.42.227,20.42.73.30,52640,443
22,2428,2024-09-13 11:53:09.710826,172.21.42.227,20.42.73.30,52640,443
23,2428,2024-09-13 11:53:09.711120,172.21.42.227,20.42.73.30,52640,443
24,2428,2024-09-13 11:53:09.711426,172.21.42.227,20.42.73.30,52640,443
25,1240,2024-09-13 11:53:09.711686,172.21.42.227,20.42.73.30,52640,443
26,52,2024-09-13 11:53:09.801872,20.42.65.89,172.21.42.227,443,60616
27,52,2024-09-13 11:53:09.817462,20.42.73.30,172.21.42.227,443,52640
28,725,2024-09-13 11:53:09.818080,172.21.42.227,20.42.73.30,52640,443
29,52,2024-09-13 11:53:09.818548,20.42.73.30,172.21.42.227,443,52640
30,52,2024-09-13 11:53:09.818935,20.42.73.30,172.21.42.227,443,52640
31,52,2024-09-13 11:53:09.848722,20.42.73.30,172.21.42.227,443,52640
32,52,2024-09-13 11:53:09.849671,20.42.73.30,172.21.42.227,443,52640
33,87,2024-09-13 11:53:09.932901,20.42.73.30,172.21.42.227,443,52640
34,52,2024-09-13 11:53:09.933520,172.21.42.227,20.42.73.30,52640,443
35,150,2024-09-13 11:53:10.063615,20.42.73.30,172.21.42.227,443,52640
36,52,2024-09-13 11:53:10.064195,172.21.42.227,20.42.73.30,52640,443
37,52,2024-09-13 11:53:10.261907,172.21.42.227,20.42.65.89,60616,443
38,52,2024-09-13 11:53:10.377368,20.42.65.89,172.21.42.227,443,60616
39,52,2024-09-13 11:53:10.377938,172.21.42.227,20.42.65.89,60616,443
40,165,2024-09-13 11:53:11.787697,172.21.42.227,20.42.73.30,52640,443
41,2428,2024-09-13 11:53:11.788281,172.21.42.227,20.42.73.30,52640,443
42,2428,2024-09-13 11:53:11.788699,172.21.42.227,20.42.73.30,52640,443
43,2428,2024-09-13 11:53:11.789063,172.21.42.227,20.42.73.30,52640,443
44,2022,2024-09-13 11:53:11.789477,172.21.42.227,20.42.73.30,52640,443
45,52,2024-09-13 11:53:11.964674,20.42.73.30,172.21.42.227,443,52640
46,52,2024-09-13 11:53:11.965006,20.42.73.30,172.21.42.227,443,52640
47,52,2024-09-13 11:53:11.965222,20.42.73.30,172.21.42.227,443,52640
48,52,2024-09-13 11:53:11.965423,20.42.73.30,172.21.42.227,443,52640
49,172,2024-09-13 11:53:12.019100,20.42.73.30,172.21.42.227,443,52640
50,52,2024-09-13 11:53:12.019885,172.21.42.227,20.42.73.30,52640,443
51,87,2024-09-13 11:53:12.022162,172.21.42.227,20.42.73.30,52640,443
52,52,2024-09-13 11:53:12.250912,20.42.73.30,172.21.42.227,443,52640
53,165,2024-09-13 11:53:13.881107,172.21.42.227,20.42.73.30,52640,443
54,2428,2024-09-13 11:53:13.881979,172.21.42.227,20.42.73.30,52640,443
55,2428,2024-09-13 11:53:13.882649,172.21.42.227,20.42.73.30,52640,443
56,2131,2024-09-13 11:53:13.883351,172.21.42.227,20.42.73.30,52640,443
57,52,2024-09-13 11:53:13.996891,20.42.73.30,172.21.42.227,443,52640
58,52,2024-09-13 11:53:14.034153,20.42.73.30,172.21.42.227,443,52640
59,52,2024-09-13 11:53:14.034798,20.42.73.30,172.21.42.227,443,52640
60,150,2024-09-13 11:53:14.035403,20.42.73.30,172.21.42.227,443,52640
61,52,2024-09-13 11:53:14.075572,172.21.42.227,20.42.73.30,52640,443
62,165,2024-09-13 11:53:15.972733,172.21.42.227,20.42.73.30,52640,443
63,2428,2024-09-13 11:53:15.973308,172.21.42.227,20.42.73.30,52640,443
64,2240,2024-09-13 11:53:15.973692,172.21.42.227,20.42.73.30,52640,443
65,52,2024-09-13 11:53:16.102026,20.42.73.30,172.21.42.227,443,52640
66,52,2024-09-13 11:53:16.102675,20.42.73.30,172.21.42.227,443,52640
